Instancia,SI,SF,Desvio_SI_SF,Desvio_SF_Opt,Tempo_Heuristica,Tempo_Solver
11_hes,624.0,172.0,72.4359,1.7751,0.14,0.13
11_ros,91.0,33.0,63.7363,10.0,0.6,0.05
11_ton,2289.0,180.0,92.1363,63.6364,9.12,52.04
11_wee,905.0,36.0,96.0221,24.1379,11.03,1800.13
12_hes,438.0,107.0,75.5708,0.0,0.04,0.12
12_ros,104.0,27.0,74.0385,0.0,0.27,0.07
12_ton,2057.0,157.0,92.3675,45.3704,30.51,163.92
12_wee,547.0,39.0,92.8702,30.0,36.83,1264.43
1_hes,262.0,94.0,64.1221,0.0,1.83,0.09
1_ros,95.0,20.0,78.9474,0.0,0.04,0.07
1_ton,2264.0,108.0,95.2297,24.1379,31.62,85.93
1_wee,925.0,31.0,96.6486,24.0,10.33,1800.13
2_hes,278.0,95.0,65.8273,0.0,0.39,0.17
2_ros,118.0,22.0,81.3559,0.0,0.44,0.08
2_ton,2269.0,108.0,95.2402,24.1379,16.4,86.15
2_wee,286.0,32.0,88.8112,23.0769,30.84,1800.13
41_hes,131.0,35.0,73.2824,0.0,4.24,0.56
41_ros,83.0,10.0,87.9518,0.0,2.56,0.51
41_ton,2109.0,87.0,95.8748,210.7143,63.74,1800.29
41_wee,813.0,15.0,98.155,50.0,46.46,1800.36
42_hes,153.0,41.0,73.2026,2.5,0.4,0.77
42_ros,39.0,11.0,71.7949,10.0,0.09,0.57
42_ton,2077.0,73.0,96.4853,128.125,31.85,1800.27
42_wee,112.0,13.0,88.3929,44.4444,81.48,1800.38
51_hes,235.0,54.0,77.0213,5.8824,0.17,1.55
51_ros,109.0,11.0,89.9083,0.0,0.08,0.28
51_ton,2008.0,63.0,96.8625,80.0,58.26,1800.26
51_wee,877.0,16.0,98.1756,33.3333,67.13,1800.35
52_hes,147.0,50.0,65.9864,-90.0596,0.67,1.46
52_ros,83.0,11.0,86.747,10.0,0.12,0.5
52_ton,2258.0,77.0,96.5899,79.0698,15.72,150.8
52_wee,880.0,17.0,98.0682,88.8889,35.24,1800.37
61_hes,410.0,66.0,83.9024,0.0,1.07,1.06
61_ros,95.0,16.0,83.1579,0.0,0.76,0.5
61_ton,2170.0,167.0,92.3041,173.7705,16.87,1800.26
61_wee,937.0,22.0,97.6521,46.6667,56.84,1800.34
62_hes,366.0,56.0,84.6995,0.0,1.62,0.81
62_ros,118.0,13.0,88.9831,0.0,0.17,0.4
62_ton,2590.0,168.0,93.5135,154.5455,42.97,1800.25
62_wee,1262.0,27.0,97.8605,50.0,36.34,173.77
71_hes,124.0,91.0,26.6129,0.0,0.22,0.49
71_ros,118.0,15.0,87.2881,0.0,0.92,0.52
71_ton,2398.0,236.0,90.1585,337.037,58.32,1800.26
71_wee,961.0,23.0,97.6067,27.7778,58.72,1800.34
72_hes,363.0,86.0,76.3085,32.3077,0.3,1.12
72_ros,121.0,16.0,86.7769,0.0,0.99,0.41
72_ton,2875.0,128.0,95.5478,124.5614,37.54,1800.26
72_wee,209.0,24.0,88.5167,50.0,59.65,1800.34
